id_reforma,sdv002,sdc002,mdv001_1,mdv001_2,mdv001_3,mdv001_4,sdp002,sdt002,sdt003,sdu001_1,sdu001_2,data_hora_reforma,TipoAlarmeReleResistencia_id_tipo,TipoAlarmeResistencia_id_tipo,id_reacao,sdu002_1,sdu002_2,rotulo
61214,321.4,15.75,-1,-1,-1,-1,0.41,23,25,0,0,2024-04-09 06:47:36.123,1,1,196,73.4,25.1,0.0
61215,246.26,15.62,-1,-1,-1,-1,0.4,25,30,0,0,2024-04-09 06:47:58.923,1,1,196,73.1,25.2,0.0
61216,228.92,15.55,-1,-1,-1,-1,0.4,30,37,0,0,2024-04-09 06:48:21.652,1,1,196,73.0,25.3,0.0
61217,224.7,15.5,-1,-1,-1,-1,0.4,37,44,0,0,2024-04-09 06:48:44.322,1,1,196,73.0,25.2,0.0
61218,222.32,15.49,-1,-1,-1,-1,0.39,48,56,0,0,2024-04-09 06:49:07.071,1,1,196,72.9,25.3,0.0
61219,221.95,15.45,-1,-1,-1,-1,0.4,57,69,0,0,2024-04-09 06:49:29.872,1,1,196,72.8,25.5,0.0
61220,220.88,15.41,-1,-1,-1,-1,0.39,71,83,0,0,2024-04-09 06:49:52.556,1,1,196,72.5,25.5,0.0
61221,226.47,6.67,-1,-1,-1,-1,0.4,88,94,0,0,2024-04-09 06:50:15.202,1,1,196,72.3,25.7,0.0
61222,223.69,6.71,-1,-1,-1,-1,0.4,106,107,0,0,2024-04-09 06:50:37.902,1,1,196,71.7,25.9,0.0
61223,226.07,6.71,-1,-1,-1,-1,0.4,121,115,0,0,2024-04-09 06:51:00.669,1,1,196,71.3,26.0,0.0
61224,226.12,6.72,-1,-1,-1,-1,0.4,143,122,0,0,2024-04-09 06:51:23.364,1,1,196,71.2,26.1,0.0
61225,223.84,6.74,-1,-1,-1,-1,0.4,166,125,0,0,2024-04-09 06:51:46.117,1,1,196,71.0,26.2,0.0
61226,223.06,8.99,-1,-1,-1,-1,0.4,189,129,0,0,2024-04-09 06:52:08.833,1,1,196,70.8,26.2,0.0
61227,227.73,8.94,-1,-1,-1,-1,0.4,207,136,0,0,2024-04-09 06:52:31.546,1,1,196,70.8,26.1,0.0
61228,223.74,8.95,-1,-1,-1,-1,0.4,227,146,0,0,2024-04-09 06:52:54.246,1,1,196,70.9,26.2,0.0
61229,228.77,0.45,-1,-1,-1,-1,0.4,241,156,0,0,2024-04-09 06:53:16.903,1,1,196,71.0,26.2,0.0
61230,224.92,0.32,-1,-1,-1,-1,0.4,250,166,0,0,2024-04-09 06:53:39.595,1,1,196,71.0,26.1,0.0
61231,226.18,0.31,-1,-1,-1,-1,0.4,256,172,0,0,2024-04-09 06:54:02.330,1,1,196,71.0,26.2,0.0
61232,224.11,8.94,-1,-1,-1,-1,0.41,260,178,0,0,2024-04-09 06:54:25.088,1,1,196,71.0,26.4,0.0
61233,223.37,15.44,-1,-1,-1,-1,0.41,263,183,0,0,2024-04-09 06:54:47.849,1,1,196,70.5,26.6,0.0
61234,224.78,6.75,-1,-1,-1,-1,0.41,267,194,0,0,2024-04-09 06:55:10.576,1,1,196,70.3,26.6,0.0
61235,224.35,6.75,-1,-1,-1,-1,0.41,273,204,0,0,2024-04-09 06:55:33.304,1,1,196,70.1,26.6,0.0
61236,229.9,6.76,-1,-1,-1,-1,0.41,281,211,0,0,2024-04-09 06:55:55.959,1,1,196,70.0,26.7,0.0
61237,221.96,15.48,-1,-1,-1,-1,0.41,295,217,0,0,2024-04-09 06:56:18.651,1,1,196,69.8,26.8,0.0
61238,221.88,15.48,-1,-1,-1,-1,0.4,312,223,0,0,2024-04-09 06:56:41.360,1,1,196,69.6,26.8,0.0
61239,224.72,6.77,-1,-1,-1,-1,0.4,330,234,0,0,2024-04-09 06:57:04.160,1,1,196,69.6,26.8,0.0
61240,224.93,6.77,-1,-1,-1,-1,0.41,344,241,0,0,2024-04-09 06:57:26.852,1,1,196,69.7,26.8,0.0
61241,226.43,0.32,-1,-1,-1,-1,0.41,363,250,0,0,2024-04-09 06:57:49.607,1,1,196,69.7,26.7,0.0
61242,224.14,8.89,-1,-1,-1,-1,0.41,381,255,0,0,2024-04-09 06:58:12.372,1,1,196,69.3,26.9,0.0
61243,226.35,8.92,-1,-1,-1,-1,0.4,392,263,0,0,2024-04-09 06:58:35.093,1,1,196,69.5,26.8,0.0
61244,228.7,0.4,-1,-1,-1,-1,0.4,397,274,0,0,2024-04-09 06:58:57.744,1,1,196,69.7,26.7,0.0
61245,223.75,6.76,-1,-1,-1,-1,0.4,400,282,0,0,2024-04-09 06:59:20.498,1,1,196,69.8,26.7,0.0
61246,220.4,15.47,-1,-1,-1,-1,0.4,405,287,0,0,2024-04-09 06:59:43.289,1,1,196,70.1,26.5,0.0
61247,223.41,15.45,-1,-1,-1,-1,0.4,415,295,0,0,2024-04-09 07:00:05.993,1,1,196,70.6,26.4,0.0
61248,223.65,6.77,-1,-1,-1,-1,0.41,425,305,0,0,2024-04-09 07:00:28.714,1,1,196,70.8,26.3,0.0
