pressure,reactor temperature,pre-reactor temperature,humidity,outlet temperature,label,number data
0.37,22,21,66.3,23.7,0.0,0
0.37,22,21,66.2,23.7,0.0,1
0.37,22,21,66.2,23.7,0.0,2
0.37,22,21,66.3,23.7,0.0,3
0.37,22,21,66.3,23.7,0.0,4
0.37,22,21,66.3,23.7,0.0,5
0.37,22,21,66.3,23.7,0.0,6
0.37,22,21,66.3,23.7,0.0,7
0.36,22,21,66.4,23.7,0.0,8
0.37,22,21,69.0,23.7,0.0,9
0.37,21,21,71.3,23.7,0.0,10
0.37,22,21,72.3,23.7,0.0,11
0.37,22,21,73.1,23.7,0.0,12
0.37,22,21,73.7,23.7,0.0,13
0.37,22,21,72.3,23.7,0.0,14
0.37,22,21,68.8,23.6,0.0,15
0.37,22,21,64.3,23.6,0.0,16
0.37,22,21,59.9,23.6,0.0,17
0.37,22,21,56.1,23.6,0.0,18
0.37,22,21,52.7,23.6,0.0,19
0.37,22,21,50.0,23.6,0.0,20
0.37,22,21,48.1,23.6,0.0,21
0.37,22,21,46.4,23.7,0.0,22
0.37,22,21,45.1,23.7,0.0,23
0.37,22,21,44.0,23.7,0.0,24
0.37,22,21,42.8,23.8,0.0,25
0.37,22,21,41.8,23.9,0.0,26
0.37,22,21,41.0,23.9,0.0,27
0.37,22,21,40.3,23.9,0.0,28
0.37,22,21,38.7,23.9,0.0,29
0.37,22,21,38.2,23.9,0.0,30
0.37,22,21,37.7,24.0,0.0,31
0.37,22,21,37.3,24.0,0.0,32
0.37,22,21,36.9,24.0,0.0,33
0.36,22,21,36.5,24.0,0.0,34
0.37,22,21,36.1,24.0,0.0,35
0.37,22,21,35.8,24.0,0.0,36
0.37,22,21,35.5,24.0,0.0,37
0.36,22,21,35.2,24.0,0.0,38
0.37,22,21,34.9,24.0,0.0,39
0.37,22,21,34.6,24.1,0.0,40
0.37,22,21,34.4,24.0,0.0,41
0.37,22,21,34.1,24.0,0.0,42
0.37,22,22,33.9,24.1,0.0,43
0.37,22,25,33.6,24.0,0.0,44
0.37,25,30,33.4,24.1,0.0,45
0.37,30,36,33.2,24.1,0.0,46
0.37,38,45,32.9,24.1,0.0,47
0.37,47,56,32.7,24.1,0.0,48
0.37,60,69,32.5,24.0,0.0,49
0.37,77,80,32.4,24.0,0.0,50
0.37,96,94,32.4,24.0,0.0,51
0.37,111,107,32.7,24.0,0.0,52
0.37,133,115,33.9,24.0,0.0,53
0.37,156,120,36.1,24.0,0.0,54
0.37,179,125,38.8,24.0,0.0,55
0.37,202,130,41.5,24.0,0.0,56
0.37,216,137,43.8,24.0,0.0,57
0.37,230,148,46.1,24.0,0.0,58
0.37,240,157,48.2,24.0,0.0,59
0.37,247,166,49.9,24.0,0.0,60
0.37,250,172,51.6,24.0,0.0,61
0.37,256,185,54.7,24.0,0.0,62
0.37,259,196,56.0,24.0,0.0,63
0.37,267,203,57.3,24.0,0.0,64
0.37,278,210,58.4,24.0,0.0,65
0.37,293,216,59.4,23.9,0.0,66
0.37,310,225,60.3,23.9,0.0,67
0.37,323,236,61.1,23.9,0.0,68
0.37,342,244,61.9,23.9,0.0,69
0.37,362,248,62.6,23.9,0.0,70
0.37,381,256,63.3,23.9,0.0,71
0.37,391,266,64.0,23.9,0.0,72
0.37,405,285,65.5,23.9,0.0,73
0.37,410,295,66.0,23.9,0.0,74
0.37,420,302,66.6,23.9,0.0,75
0.37,433,308,67.1,23.9,0.0,76
0.37,444,317,67.6,23.9,0.0,77
0.37,460,327,68.1,23.9,0.0,78
0.37,476,332,68.5,23.9,0.0,79
0.37,492,340,69.0,23.9,0.0,80
0.37,504,349,69.4,23.9,0.0,81
0.37,520,357,70.0,23.9,0.0,82
0.37,534,364,70.8,24.0,0.0,83
0.37,540,371,71.5,24.0,0.0,84
0.37,544,379,72.0,24.0,0.0,85
0.37,553,388,71.2,24.0,0.0,86
0.37,565,393,69.2,24.0,0.0,87
0.37,577,403,66.6,24.0,0.0,88
0.37,590,410,64.1,24.0,0.0,89
